corpus,metric,kind,pair_or_source,value
Inanna & Enki,TRANSITION|function,within,mine,0.411
Inanna & Enki,TRANSITION|function,between,gemini<->mine,0.378
Inanna & Enki,TRANSITION|function,between,gemini<->opus,0.458
Inanna & Enki,TRANSITION|function,between,gemini<->qwen,0.492
Inanna & Enki,TRANSITION|function,between,mine<->opus,0.202
Inanna & Enki,TRANSITION|function,between,mine<->qwen,0.22
Inanna & Enki,TRANSITION|function,between,opus<->qwen,0.576
Inanna & Enki,freedom_state_A,mean,-,0.271
Inanna & Enki,freedom_dir_A,mean,-,0.479
Inanna & Enki,freedom_state_B,mean,-,0.318
Inanna & Enki,freedom_dir_B,mean,-,0.52
Inanna & Enki,freedom_state_C,mean,-,0.21
Inanna & Enki,freedom_dir_C,mean,-,0.318
Inanna & Enki,freedom_state_D,mean,-,0.169
Inanna & Enki,freedom_dir_D,mean,-,0.297
